old_colour_id,old_colour_description,new_colour_id,new_colour_description
black_1,black_outline,black_1,black_outline
blue_1,bright_cobalt_blue,blue_1,bright_cobalt_blue
blue_2,lilac_blue,blue_2,pale_blue
blue_3,dark_blue,blue_3,dark_blue
blue_4,pale_blue,blue_2,pale_blue
blue_5,blackish_cobalt_blue,blue_3,dark_blue
green_1,sage_green,green_1,sage_green
green_2,emerald_green,green_2,bright_green
green_3,dark_green,green_2,bright_green
green_4,turquoise_green,NA,NA
green_5,pale_green,green_2,bright_green
purple_1,dark_purple,purple_1,dark_purple
purple_2,medium_purple,purple_2,light_purple
purple_3,pale_purple,purple_2,light_purple
red_1,thin_orange_red,red_1,thin_red
red_2,bright_red,red_2,thick_red
red_3,dark_brick_red,red_2,thick_red
slip,slip,slip,slip
turquoise_1,clear_turquoise,turquoise_1,clear_turquoise
turquoise_2,greenish_turquoise,turquoise_2,greenish_turquoise
